"ASV","Indicator","stat","p.value","p_adj","Phylum","Class","Order","Family","Genus"
"fe2ce6204eb286fcbb16fe23c635ffc6","Dry",0.60428791227392,0.001,0.005671875,"Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Pir4_lineage"
"e8c5c1c79a2e68bc73215d2a4389439e","Dry",0.603756067550229,0.002,0.00977119784656797,"Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"3c2888da275f2aabbfd681578931fcfd","Wet",0.603259014589554,0.002,0.00977119784656797,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",""
"2efdbfe3543a2e428e36be62290b2425","Wet",0.601780001234835,0.001,0.005671875,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"ee08b6e5c72b31b3edd60fbd88f44e4d","Wet",0.600432013690059,0.001,0.005671875,"Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","Peredibacter"
"757f28edb83a1dc0433628cf22d72458","Wet",0.598121085598703,0.001,0.005671875,"Bacteroidota","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"5e09a7cf77aa51c0df1ba5e885b52d92","Dry",0.597571655902514,0.001,0.005671875,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae",""
"65b065a08d0e8ad55b1b11e17491d355","Wet",0.597040342214808,0.001,0.005671875,"Myxococcota","Polyangia","Polyangiales","BIrii41","BIrii41"
"91fbcaf6d483a5917a91483c656b31d5","Dry",0.596689197863967,0.001,0.005671875,"Armatimonadota","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonadaceae"
"34f91d62553b8a5b0110b6bfcc1f5660","Dry",0.596452596112172,0.001,0.005671875,"Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"9b2b355a4485d584deb2a749930dfed4","Dry",0.595680556788663,0.013,0.040402397260274,"Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","AKIW781"
"6bbee234a3c5b028ee5718e56d893fbb","Dry",0.595540933877445,0.001,0.005671875,"Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Puia"
"9ef2f3423a340b03bfdd0c3c0d84e892","Wet",0.595340557787587,0.001,0.005671875,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas"
"4a7223932298f69eab0314f908b151cb","Wet",0.595340557787587,0.001,0.005671875,"Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae",""
"18b79e155f3c138fa2c01caa047fd2d5","Wet",0.595340557787587,0.001,0.005671875,"Proteobacteria","Alphaproteobacteria","Rickettsiales","",""
"0b79e2c5308c9ebbaa8af5242e97d58a","Wet",0.595340557787587,0.001,0.005671875,"Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata"
"a7223f6bf839f174220714884d7c710d","Wet",0.595340557787587,0.001,0.005671875,"Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
