"OTU","Sample","Abundance","Pot","Intensity","Frequency","Composition","Replicate","Microbes","Kingdom","Phylum"
"e3ac9f3a8e9420c5646705867fdd9409","83DLH1F",0.907686327859294,"Pot-83","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","40WHC2F",0.906231564566709,"Pot-40","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","58WHH1F",0.905538485779564,"Pot-58","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","53WHH1F",0.89566727523712,"Pot-53","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","66DLC1F",0.887527625636591,"Pot-66","Dry","Low","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","24WLH1F",0.886204208885425,"Pot-24","Wet","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","81DLH1F",0.885476969544425,"Pot-81","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","31WHC1F",0.878264191649063,"Pot-31","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","33WHC2F",0.877073139734384,"Pot-33","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","89DLH2F",0.876731336882206,"Pot-89","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","54WHH1F",0.874439461883408,"Pot-54","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","40WHC1F",0.851778174732056,"Pot-40","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","54WHH2F",0.850402679780486,"Pot-54","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","84DLH2F",0.849171616130041,"Pot-84","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","59WHH1F",0.846618705035971,"Pot-59","Wet","High","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","59WHH2F",0.841564735748904,"Pot-59","Wet","High","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","35WHC1F",0.826391159353953,"Pot-35","Wet","High","Conspecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","38WHC2F",0.823914968999114,"Pot-38","Wet","High","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","87DLH2F",0.819407807966236,"Pot-87","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","9WLC2F",0.815747015166183,"Pot-9","Wet","Low","Conspecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","86DLH2F",0.81241945491862,"Pot-86","Dry","Low","Heterospecific",2,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","84DLH1F",0.807908912830558,"Pot-84","Dry","Low","Heterospecific",1,"Fungi","Fungi","Ascomycota"
"e3ac9f3a8e9420c5646705867fdd9409","70DLC2F",0.777320647981486,"Pot-70","Dry","Low","Conspecific",2,"Fungi","Fungi","Ascomycota"
