ASV_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
1ac3d165e7e99a7d1086ff6cd5a6eedf,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Laburnicola,Laburnicola_sp
53aced87037f5379b8e5f100fb886abd,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Protocreopsis,Protocreopsis_rutila
e9d861af223ec70c9c687f0fc06619d1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,
93864067512cb1b7186f2d08e9e65a6e,Fungi,,,,,,
60c4503cc5091926c0fe5039f5800884,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_pye
5a2ad356091ececd145655fe34e0e6ec,Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Podospora,Podospora_sp
6bc40377b677d5bc91fea6f642534f1b,Fungi,,,,,,
4fbb4e956abe057c23855dc3aff42015,Fungi,Ascomycota,,,,,
7e1bed3754564ad4be7b5af3034713ec,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_radicina
6378111ada62b59a2f7cc40c8a9cf978,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia_ligustica
5dcfdd17bf635f9074c2bc3ab9ec3e22,Fungi,Ascomycota,Sordariomycetes,,,,
b84d6f9f10d59c7eac755c86ac44b80f,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terrea
2f69afff0fd14c97dc23ea9b0410d8aa,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Corynesporascaceae,Corynespora,Corynespora_sp
2099161ade7d0964a44675be6a3f0670,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_panaeoloides
066857f0993123c92e8003e89f0d5245,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma_chlamydocopiosa
60ddcfe81120f7e792329572cf7ac536,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,,
5aec569cbee893a4d1449e36912424f7,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Kamienskia,Kamienskia_sp
